lat,temp,humidity,windspeed,precip,fire,month,ffmc,dmc,dc,isi,bui,fwi
58.989,20.7,59.7,14.2,0.3,1,7,85.6,8.1,22.4,4.7,8.5,4.7
62.0209,19.0,57.9,17.9,0.6,0,7,85.1,8.0,22.1,5.3,8.4,5.2
62.0209,18.0,69.0,28.6,3.0,0,7,71.5,5.1,19.5,2.8,6.2,2.0
62.0209,18.0,75.0,21.4,6.0,1,7,59.0,4.0,14.4,1.1,4.7,0.5
45.4693,27.3,87.7,9.3,1.3,0,7,74.4,6.8,23.6,1.2,7.9,0.6
45.4693,29.2,82.2,9.0,0.3,0,7,84.2,7.3,24.0,3.0,8.3,2.7
45.4693,30.7,81.4,7.2,0.4,1,7,84.6,7.4,24.2,2.9,8.4,2.6
45.5994,30.4,86.4,8.2,0.4,0,7,83.1,7.0,24.2,2.5,8.1,2.1
45.5994,30.7,87.5,7.2,0.8,0,7,79.7,6.9,24.2,1.6,8.1,0.9
45.5994,29.4,91.6,8.6,1.1,1,7,75.0,6.6,24.0,1.2,7.8,0.6
61.2923,18.6,62.5,18.2,0.0,0,7,85.0,7.7,22.1,5.3,8.2,5.2
61.2923,22.8,70.4,16.2,0.0,0,7,85.0,7.7,22.8,4.8,8.4,4.7
61.2923,25.4,70.2,14.7,0.1,1,7,85.0,7.9,23.3,4.4,8.6,4.4
63.3523,25.2,65.2,21.4,0.0,0,7,85.5,8.1,23.2,6.6,8.6,6.6
63.3523,30.6,60.4,15.4,0.0,0,7,87.0,8.9,24.2,6.1,9.3,6.3
63.3523,25.9,56.5,21.4,0.0,1,7,86.9,8.8,23.4,8.1,9.1,8.1
48.0653,35.7,81.8,14.2,0.1,0,7,85.0,7.6,25.1,4.3,8.7,4.3
48.0653,34.8,81.9,10.7,0.1,0,7,85.0,7.5,25.0,3.6,8.6,3.5
48.0653,35.3,77.0,10.7,0.2,1,7,85.0,8.0,25.1,3.6,8.9,3.6
48.4904,30.1,85.5,7.8,0.2,0,7,83.4,7.1,24.1,2.5,8.2,2.1
48.4904,29.1,84.3,6.9,0.0,0,7,83.6,7.1,23.9,2.5,8.1,2.1
48.4904,32.9,79.4,8.2,3.3,1,7,69.7,5.2,21.6,0.9,6.5,0.4
62.4291,23.3,48.9,17.9,0.0,0,7,87.6,8.9,22.9,7.5,9.0,7.5
62.4291,23.8,42.9,21.4,0.0,0,7,88.7,9.3,23.0,10.5,9.3,10.2
62.4291,24.3,57.3,7.2,0.9,1,7,84.0,8.5,23.1,2.6,8.9,2.4
62.3993,23.7,43.9,19.5,0.0,0,7,88.5,9.3,23.0,9.2,9.3,9.1
62.3993,23.6,59.0,7.2,0.7,0,7,84.8,8.4,23.0,2.9,8.8,2.7
62.3993,25.4,53.4,9.3,0.7,1,7,86.2,8.9,23.3,4.0,9.1,4.1
66.5831,26.3,55.2,7.8,0.0,0,7,87.0,8.9,23.4,4.1,9.1,4.2
66.5831,28.2,49.3,10.7,0.0,0,7,88.3,9.5,23.8,5.8,9.5,6.1
66.5831,28.3,55.4,10.7,0.0,1,8,87.3,8.7,23.1,5.0,9.0,5.1
62.9633,19.1,58.5,13.6,0.5,0,7,85.6,8.0,22.1,4.5,8.4,4.4
62.9633,23.6,48.7,25.4,0.0,0,8,87.8,8.6,22.3,11.2,8.8,10.5
62.9633,19.7,58.3,9.6,0.0,1,8,85.6,7.8,21.6,3.7,8.2,3.5
65.6238,28.2,64.6,10.1,0.0,0,8,85.9,8.1,23.1,4.0,8.6,3.9
65.6238,29.9,59.2,11.5,0.0,0,8,87.0,8.6,23.4,5.0,9.0,5.1
65.6238,29.4,43.5,12.2,0.0,1,8,89.5,9.6,23.3,7.4,9.6,7.7
62.9964,19.7,59.6,9.6,0.0,0,8,85.5,7.7,21.6,3.7,8.1,3.5
62.9964,19.8,57.3,11.0,0.0,0,8,85.8,7.8,21.6,4.1,8.2,3.9
62.9964,20.7,54.0,14.2,0.0,1,8,86.4,8.1,21.7,5.2,8.4,5.1
64.2296,31.3,42.8,12.5,0.0,0,8,90.0,9.8,23.6,8.0,9.8,8.3
64.2296,27.1,56.4,9.6,0.0,0,8,87.0,8.5,22.9,4.5,8.8,4.5
64.2296,26.6,41.8,14.7,0.0,1,8,89.3,9.3,22.8,8.1,9.3,8.2
62.7122,20.7,55.0,16.5,0.0,0,8,86.3,8.0,21.7,5.8,8.3,5.7
62.7122,18.6,56.3,15.4,0.0,0,8,85.8,7.8,21.4,5.1,8.2,5.0
62.7122,18.1,59.0,11.5,0.0,1,8,85.4,7.6,21.3,4.0,8.0,3.8
63.9963,22.9,37.8,25.1,0.0,0,8,89.4,9.1,22.1,13.9,9.1,12.7
63.9963,25.7,39.5,19.4,0.0,1,8,89.6,9.3,22.6,10.8,9.3,10.5
62.7848,17.6,62.0,13.9,0.0,0,8,85.0,7.5,21.2,4.2,8.0,4.0
62.7848,21.7,58.7,10.7,0.0,0,8,85.9,7.9,21.9,4.1,8.3,4.0
62.7848,26.7,51.8,10.7,0.0,1,8,87.6,8.8,22.8,5.2,9.0,5.3
62.931,21.3,59.7,11.0,0.0,0,8,85.7,7.9,21.8,4.0,8.3,3.9
62.931,24.8,54.2,7.2,0.0,0,8,86.9,8.4,22.5,3.9,8.7,3.9
62.931,25.2,57.2,8.2,0.0,1,8,86.5,8.3,22.5,3.9,8.6,3.8
65.7886,26.2,43.4,11.5,0.0,0,8,88.9,9.2,22.7,6.5,9.2,6.7
65.7886,27.4,45.4,8.2,0.0,0,8,88.7,9.2,22.9,5.4,9.2,5.6
65.7886,26.7,43.9,9.3,0.0,1,8,88.8,9.2,22.8,5.8,9.2,6.0
62.8113,25.3,56.8,9.3,0.0,0,8,86.6,8.4,22.6,4.2,8.7,4.2
62.8113,27.3,56.1,8.6,0.0,0,8,87.0,8.6,22.9,4.3,8.9,4.4
62.8113,26.2,50.8,14.2,0.0,1,8,87.7,8.8,22.7,6.3,8.9,6.4
62.7823,27.3,54.5,9.6,0.0,0,8,87.3,8.7,22.9,4.7,8.9,4.8
62.7823,26.3,50.4,14.7,0.0,0,8,87.8,8.8,22.7,6.6,8.9,6.7
62.7823,23.2,54.1,14.2,0.0,1,8,86.8,8.3,22.2,5.5,8.6,5.5
59.1121,30.7,58.3,11.5,0.0,0,8,87.3,8.7,23.5,5.2,9.0,5.3
59.1121,30.4,67.5,7.8,0.0,0,8,85.8,8.1,23.5,3.5,8.7,3.4
59.1121,28.6,75.6,6.9,0.0,1,8,85.0,7.5,23.2,3.0,8.3,2.7
61.1447,24.8,76.6,10.7,0.2,0,8,84.8,7.3,22.5,3.5,8.1,3.3
61.1447,25.6,82.9,10.7,0.0,0,8,83.5,6.9,22.6,3.0,7.8,2.6
61.1447,30.3,69.5,9.3,0.0,1,8,85.5,8.0,23.5,3.6,8.6,3.5
62.7739,23.2,66.7,13.3,0.1,0,8,85.0,7.7,22.2,4.1,8.2,3.9
62.7739,22.2,68.4,10.7,0.0,0,8,85.0,7.5,22.0,3.6,8.1,3.4
62.7739,21.7,66.7,10.7,0.1,1,8,85.0,7.6,21.9,3.6,8.1,3.4
60.9306,26.6,75.6,7.5,0.4,0,8,85.0,7.4,22.8,3.1,8.2,2.8
60.9306,31.3,62.9,21.4,0.0,0,8,86.8,8.5,23.6,8.0,8.9,7.9
60.9306,30.3,70.1,17.9,2.5,1,8,78.6,6.0,23.5,2.4,7.3,1.8
58.7692,31.8,59.7,10.4,0.0,0,8,87.3,8.7,23.7,4.9,9.1,5.0
58.7692,32.3,55.4,11.5,0.0,0,8,88.0,9.1,23.8,5.7,9.3,5.9
58.7692,27.7,66.4,19.0,0.5,1,8,85.6,8.0,23.0,6.0,8.6,6.0
56.1045,26.1,64.5,6.4,0.0,0,8,85.6,8.0,22.7,3.2,8.5,3.0
56.1045,27.3,59.4,11.5,0.0,0,8,86.6,8.4,22.9,4.7,8.8,4.8
56.1045,23.7,70.6,12.2,0.6,1,8,83.9,7.5,22.3,3.4,8.1,3.2
48.0561,28.7,83.3,7.5,0.2,0,8,83.8,7.0,23.2,2.6,8.0,2.2
48.0561,28.2,82.1,10.7,0.0,0,8,84.1,7.1,23.1,3.2,8.0,2.9
48.0561,31.6,78.6,6.4,0.0,1,8,85.0,7.4,23.7,2.9,8.3,2.6
62.6756,20.2,74.3,13.6,0.3,0,8,84.7,7.1,21.6,4.0,7.8,3.7
62.6756,19.3,66.0,20.8,0.0,0,8,85.0,7.4,21.5,6.0,8.0,5.8
62.6756,20.1,65.8,12.5,0.0,1,8,85.0,7.5,21.6,4.0,8.0,3.8
67.9444,19.3,77.0,9.0,0.0,0,8,84.1,7.0,21.5,2.9,7.7,2.5
67.9444,20.9,72.3,15.0,0.0,0,8,85.0,7.3,21.8,4.5,7.9,4.3
67.9444,23.7,70.4,14.7,0.0,1,8,85.0,7.5,22.3,4.4,8.1,4.2
60.6583,26.7,71.5,17.9,0.9,0,8,82.8,7.6,22.8,3.9,8.3,3.8
60.6583,30.2,66.3,15.0,0.1,0,8,86.0,8.2,23.4,5.2,8.7,5.2
60.6583,30.3,62.6,12.2,0.0,1,8,86.6,8.4,23.5,4.9,8.9,5.0
49.9595,26.2,69.9,7.5,0.0,0,8,85.0,7.7,22.7,3.1,8.3,2.9
49.9595,24.8,75.7,20.8,0.0,0,8,85.0,7.3,22.5,6.0,8.1,5.8
49.9595,21.4,86.1,16.5,4.1,1,8,56.8,3.9,17.5,0.7,5.0,0.3
49.9495,24.8,75.7,20.8,0.0,0,8,85.0,7.3,22.5,6.0,8.1,5.8
49.9495,21.4,86.1,16.5,4.1,0,8,56.8,3.9,17.5,0.7,5.0,0.3
49.9495,23.8,81.5,10.4,0.2,1,8,83.7,7.0,22.3,3.0,7.8,2.6
64.7492,18.1,66.1,12.5,0.0,0,8,85.0,7.3,21.3,4.0,7.9,3.8
64.7492,20.3,65.9,14.2,0.0,0,8,85.0,7.5,21.7,4.3,8.0,4.1
64.7492,21.7,63.2,19.7,0.5,1,8,85.3,7.7,21.9,5.9,8.2,5.8
49.9675,23.8,81.5,10.4,0.2,0,8,83.7,7.0,22.3,3.0,7.8,2.6
49.9675,26.2,81.5,6.9,0.3,0,8,84.0,7.0,22.7,2.6,7.9,2.2
49.9675,24.2,86.8,5.8,4.1,1,8,52.9,3.9,18.0,0.3,5.1,0.1
59.8944,18.1,85.4,11.8,2.0,0,8,66.8,5.2,21.3,1.0,6.5,0.5
59.8944,20.6,73.3,14.2,0.0,0,8,84.9,7.2,21.7,4.2,7.9,4.0
59.8944,16.2,78.0,15.0,0.6,1,8,82.6,6.8,20.9,3.3,7.5,2.9
60.5683,21.6,64.8,15.0,1.0,0,8,82.1,7.6,21.9,3.1,8.1,2.8
60.5683,19.1,66.7,9.3,0.0,0,8,85.0,7.4,21.4,3.4,7.9,3.1
60.5683,24.1,64.8,11.5,0.0,1,8,85.4,7.8,22.3,4.0,8.3,3.9
59.7501,18.9,65.9,11.0,0.0,0,8,85.0,7.4,21.4,3.7,7.9,3.4
59.7501,24.1,66.4,11.5,0.0,0,8,85.1,7.7,22.3,3.8,8.3,3.6
59.7501,26.2,63.8,11.5,0.0,1,8,85.8,8.0,22.7,4.2,8.5,4.1
59.884,24.1,66.4,11.0,0.0,0,8,85.1,7.7,22.3,3.7,8.3,3.5
59.884,26.2,64.3,11.0,0.0,0,8,85.7,8.0,22.7,4.0,8.5,3.9
59.884,19.8,76.3,11.5,0.0,1,8,84.3,7.0,21.6,3.4,7.7,3.1
59.6985,24.7,62.7,11.8,0.0,0,8,85.7,8.0,22.4,4.2,8.5,4.1
59.6985,20.8,74.1,10.7,0.0,0,8,84.8,7.2,21.7,3.5,7.9,3.2
59.6985,23.3,72.4,13.3,0.0,1,8,85.0,7.4,22.2,4.1,8.1,3.9
56.475,18.3,67.9,5.0,0.0,0,8,85.0,7.3,21.3,2.7,7.9,2.3
56.475,19.3,70.2,7.2,0.0,0,8,85.0,7.3,21.5,3.0,7.9,2.6
56.475,19.3,77.3,5.8,0.0,1,9,84.1,6.8,20.2,2.5,7.4,1.9
58.3471,25.2,72.9,12.2,0.2,0,8,85.0,7.5,22.5,3.9,8.2,3.7
58.3471,18.9,70.4,11.5,1.0,0,9,80.1,7.1,20.1,2.0,7.5,1.2
58.3471,13.8,77.5,15.0,5.7,1,9,52.3,3.5,12.2,0.5,4.1,0.2
60.7232,17.7,61.2,14.7,0.4,0,9,85.0,7.3,19.9,4.4,7.6,4.1
60.7232,15.3,65.5,15.0,1.7,0,9,75.4,6.2,19.5,1.7,6.9,0.8
60.7232,11.2,69.8,10.4,0.0,1,9,84.3,6.7,18.7,3.2,7.1,2.7
57.0722,16.6,74.9,6.9,0.0,0,9,84.2,6.8,19.7,2.7,7.3,2.2
57.0722,19.6,71.2,9.6,0.0,0,9,85.0,7.1,20.2,3.4,7.6,3.0
57.0722,21.4,63.1,7.2,0.0,1,9,85.2,7.5,20.6,3.1,7.9,2.8
64.785,12.3,71.2,18.6,0.1,0,9,84.2,6.7,18.9,4.8,7.1,4.3
64.785,8.3,70.2,13.3,0.0,0,9,84.0,6.5,18.2,3.6,6.9,3.1
64.785,14.2,62.8,11.8,0.0,1,9,85.0,7.0,19.3,3.8,7.3,3.4
66.7575,14.1,58.6,13.6,0.0,0,9,85.0,7.1,19.2,4.2,7.4,3.8
66.7575,18.2,51.6,11.5,0.0,1,9,86.3,7.7,20.0,4.5,7.8,4.3
64.7312,14.2,62.5,11.8,0.0,0,9,85.0,7.0,19.3,3.8,7.3,3.4
64.7312,15.4,59.4,9.6,0.0,0,9,85.0,7.2,19.5,3.4,7.5,3.0
64.7312,18.9,52.9,10.4,0.0,1,9,86.2,7.7,20.1,4.2,7.9,4.0
62.9088,16.2,53.4,18.6,0.0,0,9,85.9,7.4,19.6,6.1,7.6,5.7
62.9088,18.3,55.9,22.2,0.2,0,9,85.8,7.5,20.0,7.2,7.7,6.7
62.9088,9.1,65.9,17.1,0.5,1,9,84.6,6.6,18.3,4.7,6.9,4.2
66.6548,18.9,57.8,11.8,0.0,0,9,85.6,7.5,20.1,4.1,7.8,3.8
66.6548,14.6,70.1,14.7,0.0,0,9,84.6,6.8,19.3,4.2,7.2,3.8
66.6548,15.4,70.9,10.7,0.0,1,9,84.6,6.9,19.5,3.4,7.3,3.0
63.7988,24.2,77.5,17.9,3.0,0,5,69.8,5.2,19.3,1.5,6.2,0.7
63.7988,21.2,78.2,14.2,0.5,0,5,84.1,7.3,21.2,3.8,7.8,3.5
63.7988,26.3,78.3,21.4,0.8,1,6,81.9,7.6,23.1,4.1,8.3,4.0
60.7618,20.7,71.0,9.0,0.0,0,5,85.0,7.7,21.1,3.3,8.1,3.0
60.7618,21.9,68.5,9.3,0.0,0,6,85.0,7.9,22.3,3.4,8.4,3.2
60.7618,20.7,70.7,13.6,0.0,1,6,85.0,7.7,22.1,4.2,8.2,4.1
53.632,27.8,67.8,8.3,1.6,0,6,79.4,7.8,23.4,1.6,8.5,0.9
53.632,29.2,64.6,9.9,0.0,0,6,86.1,8.8,23.7,4.0,9.1,4.1
53.632,29.6,55.1,25.1,0.0,1,6,87.8,9.6,23.7,11.1,9.6,10.9
60.6553,20.2,79.0,10.7,1.0,0,6,78.6,7.2,22.0,1.7,7.9,0.9
60.6553,18.2,77.5,19.7,0.2,0,6,83.8,7.1,21.7,4.8,7.8,4.6
60.6553,13.7,68.7,15.0,0.0,1,6,84.7,7.2,20.9,4.3,7.7,4.0
58.9203,19.8,72.7,38.2,0.0,0,6,84.9,7.5,22.0,14.2,8.1,12.3
58.9203,16.1,72.2,29.8,0.0,0,6,84.5,7.3,21.3,8.8,7.9,8.2
58.9203,13.2,68.2,10.7,0.0,1,6,84.8,7.2,20.8,3.5,7.7,3.2
57.3648,22.6,65.0,13.6,0.3,0,6,85.1,8.2,22.5,4.2,8.6,4.2
57.3648,18.1,56.1,8.6,0.0,0,6,85.7,8.2,21.7,3.6,8.4,3.5
57.3648,27.1,64.2,10.7,0.4,1,6,85.8,8.7,23.3,4.0,9.0,4.1
54.2433,22.8,70.4,14.2,2.0,0,6,75.6,6.5,22.5,1.6,7.5,0.8
54.2433,25.3,66.4,14.2,0.0,0,6,85.3,8.3,23.0,4.5,8.7,4.5
54.2433,19.7,78.4,32.2,6.0,1,6,61.6,4.1,14.4,2.3,4.8,1.0
58.7055,21.7,79.4,7.8,0.5,0,6,83.9,7.2,22.3,2.7,8.0,2.3
58.7055,19.6,73.2,13.9,0.0,0,6,84.8,7.5,21.9,4.1,8.1,3.9
58.7055,19.1,72.6,11.0,0.0,1,6,84.8,7.5,21.8,3.6,8.1,3.4
62.7193,23.8,79.5,14.7,0.2,0,6,84.1,7.3,22.7,3.9,8.1,3.7
62.7193,23.2,73.0,17.9,0.7,0,6,82.9,7.7,22.6,3.9,8.3,3.8
62.7193,24.7,67.6,17.9,0.4,1,6,85.0,8.2,22.8,5.2,8.6,5.2
58.2149,21.6,61.3,8.2,0.0,0,6,85.5,8.3,22.3,3.4,8.6,3.3
58.2149,25.2,63.3,10.4,0.0,0,6,85.7,8.5,22.9,3.9,8.8,3.9
58.2149,23.8,59.4,8.2,0.0,1,6,86.0,8.7,22.7,3.7,8.9,3.7
60.1779,25.7,64.1,25.1,0.0,0,6,85.7,8.5,23.0,8.2,8.8,8.1
60.1779,26.6,60.8,10.7,0.0,0,6,86.3,8.9,23.2,4.3,9.1,4.4
60.1779,27.8,60.0,7.2,0.0,1,6,86.5,9.0,23.4,3.7,9.2,3.8
60.1997,26.6,60.8,10.7,0.0,0,6,86.3,8.9,23.2,4.3,9.1,4.4
60.1997,27.8,60.0,7.2,0.0,0,6,86.5,9.0,23.4,3.7,9.2,3.8
60.1997,29.3,58.4,7.2,0.0,1,6,87.0,9.3,23.7,4.0,9.4,4.2
62.3735,22.7,53.2,6.4,0.0,0,6,86.7,8.9,22.5,3.7,8.9,3.7
62.3735,25.7,55.6,7.5,0.0,0,6,86.8,9.1,23.0,4.0,9.1,4.1
62.3735,27.2,66.3,7.2,0.0,1,6,85.5,8.5,23.3,3.2,8.9,3.1
53.3877,30.7,71.8,7.5,0.0,0,6,85.2,8.4,23.9,3.2,8.9,3.1
53.3877,30.3,69.9,17.9,0.0,0,6,85.4,8.5,23.9,5.5,9.0,5.6
53.3877,28.2,80.0,17.9,0.8,1,6,81.7,7.5,23.5,3.4,8.3,3.2
53.2205,29.7,73.2,6.1,0.0,0,6,85.0,8.2,23.8,2.9,8.8,2.7
53.2205,28.2,75.1,8.6,0.8,0,6,82.4,7.9,23.5,2.3,8.6,1.9
53.2205,30.7,73.7,6.4,0.2,1,6,85.0,8.2,23.9,2.9,8.8,2.7
52.8496,30.2,78.6,11.8,1.2,0,6,79.9,7.8,23.8,2.0,8.6,1.5
52.8496,32.3,78.3,14.2,1.3,0,6,80.4,7.9,24.2,2.4,8.7,2.1
52.8496,29.6,77.0,15.4,0.3,1,6,85.0,7.9,23.7,4.6,8.6,4.6
52.7349,28.2,77.4,17.9,0.0,0,6,85.0,7.7,23.5,5.2,8.5,5.2
52.7349,25.6,77.0,25.1,0.0,0,6,84.9,7.6,23.0,7.4,8.3,7.2
52.7349,25.3,69.1,21.4,0.0,1,7,85.0,7.9,23.3,6.2,8.6,6.2
63.6506,17.3,83.9,20.8,5.6,0,6,52.7,3.7,14.7,0.6,4.5,0.2
63.6506,14.3,75.3,20.5,0.8,0,7,80.5,6.9,21.3,3.4,7.6,3.0
63.6506,16.3,64.9,12.5,0.0,1,7,85.0,7.4,21.6,4.0,8.0,3.8
62.8266,24.4,48.9,13.6,0.0,0,7,87.7,9.1,23.1,6.1,9.2,6.3
62.8266,27.6,43.8,8.6,0.0,0,7,89.0,9.8,23.7,5.7,9.8,6.1
62.8266,29.2,48.1,9.0,0.0,1,7,88.6,9.7,24.0,5.5,9.7,5.9
53.1693,28.3,79.3,8.6,0.5,0,7,84.8,7.4,23.8,3.2,8.3,3.0
53.1693,21.2,86.2,14.2,0.5,0,7,82.1,6.7,22.5,2.9,7.7,2.5
53.1693,26.6,79.7,7.2,0.0,1,7,84.4,7.3,23.5,2.8,8.2,2.5
62.4044,26.8,65.4,8.6,0.0,0,7,85.6,8.3,23.5,3.5,8.8,3.4
62.4044,24.8,62.3,11.5,1.5,0,7,80.7,8.3,23.2,2.2,8.8,1.8
62.4044,23.8,55.2,7.5,0.0,1,7,86.6,8.6,23.0,3.8,8.9,3.8
53.2509,22.7,85.6,5.4,0.3,0,7,82.6,6.8,22.8,2.0,7.8,1.3
53.2509,26.3,77.6,7.2,0.0,0,7,84.9,7.4,23.4,3.0,8.3,2.7
53.2509,28.7,79.4,6.4,0.1,1,7,84.8,7.4,23.9,2.8,8.3,2.5
50.8939,26.9,77.1,10.7,0.5,0,7,85.0,7.5,23.5,3.6,8.3,3.4
50.8939,30.8,74.8,10.7,0.3,0,7,85.0,7.9,24.2,3.6,8.7,3.5
50.8939,26.4,82.7,10.7,1.0,1,7,78.9,7.1,23.5,1.7,8.1,0.9
64.0861,22.3,65.8,9.3,3.5,0,7,68.5,5.3,19.4,1.0,6.3,0.5
64.0861,22.2,61.7,7.2,0.0,0,7,85.5,8.1,22.7,3.2,8.6,3.0
64.0861,25.1,55.1,8.6,0.0,1,7,86.8,8.8,23.2,4.2,9.0,4.3
63.6855,15.2,82.7,7.2,14.0,0,7,35.9,3.1,6.4,0.0,3.0,0.0
63.6855,19.3,74.5,10.7,0.3,0,7,84.5,7.2,22.2,3.4,8.0,3.1
63.6855,22.8,65.5,10.7,0.0,1,7,85.1,7.9,22.8,3.7,8.5,3.6
60.0812,23.3,80.9,6.4,3.6,0,7,59.6,4.5,19.4,0.6,5.7,0.3
60.0812,22.2,77.9,9.3,0.0,1,7,84.3,7.2,22.7,3.1,8.0,2.8
62.5432,25.9,60.3,9.6,0.0,0,7,86.2,8.5,23.4,4.0,8.9,4.0
62.5432,25.7,65.4,8.2,0.0,0,7,85.5,8.2,23.3,3.4,8.7,3.3
62.5432,28.3,62.7,7.2,0.0,1,7,86.2,8.6,23.8,3.6,9.0,3.6
60.2251,21.7,77.4,9.3,0.0,0,7,84.3,7.2,22.6,3.1,8.0,2.8
60.2251,24.2,76.5,7.8,0.0,0,7,84.8,7.4,23.1,3.0,8.2,2.7
60.2251,24.3,70.5,6.1,0.0,1,7,85.0,7.8,23.1,2.9,8.5,2.7
64.0744,26.4,67.7,9.0,0.0,0,7,85.2,8.1,23.5,3.4,8.7,3.3
64.0744,26.1,68.4,7.2,0.0,0,7,85.1,8.0,23.4,3.1,8.6,2.9
64.0744,28.7,55.7,6.9,0.0,1,7,87.3,9.1,23.9,4.1,9.3,4.2
54.4556,23.7,71.8,6.9,0.0,0,7,85.0,7.6,23.0,3.0,8.3,2.7
54.4556,23.9,70.5,6.4,0.0,0,7,85.0,7.7,23.0,2.9,8.4,2.6
54.4556,25.7,67.0,6.1,0.0,1,7,85.2,8.1,23.3,2.9,8.7,2.7
63.1201,19.1,63.7,6.4,0.0,0,7,85.0,7.7,22.1,2.9,8.2,2.6
63.1201,18.8,74.2,17.6,0.0,0,7,84.5,7.2,22.1,4.8,7.9,4.6
63.1201,16.7,78.1,22.2,0.0,1,7,83.5,6.9,21.7,5.3,7.7,5.0
56.0499,20.6,74.3,10.4,0.0,0,7,84.7,7.3,22.4,3.4,8.0,3.1
56.0499,13.7,87.9,9.0,0.1,0,7,81.2,6.4,21.2,2.0,7.3,1.2
53.3718,26.3,70.1,10.7,0.0,0,7,85.0,7.9,23.4,3.6,8.6,3.5
53.3718,22.7,77.5,10.7,0.2,0,7,84.4,7.3,22.8,3.3,8.1,3.0
53.3718,27.3,71.9,10.7,0.0,1,7,85.0,7.9,23.6,3.6,8.6,3.5
63.6297,28.7,60.3,14.2,0.0,0,7,86.7,8.8,23.9,5.5,9.2,5.7
63.6297,22.2,68.9,25.1,0.5,0,7,85.0,7.7,22.7,7.5,8.3,7.2
63.6297,21.3,74.4,11.5,0.2,1,7,84.8,7.3,22.5,3.7,8.1,3.5
50.902,21.4,85.5,7.8,0.4,0,7,82.4,6.8,22.6,2.2,7.8,1.6
50.902,23.7,82.2,7.5,0.0,0,7,83.5,7.0,23.0,2.5,8.0,2.0
50.902,22.3,81.0,10.7,0.0,1,7,83.6,7.0,22.7,3.0,7.9,2.6
62.8509,17.1,80.7,15.4,0.0,0,7,83.1,6.8,21.8,3.5,7.6,3.1
62.8509,18.7,81.6,20.5,2.7,0,7,66.2,4.8,22.1,1.6,6.2,0.8
62.8509,19.8,79.8,13.3,1.2,1,7,76.8,7.0,22.3,1.7,7.8,0.9
59.2903,23.8,78.2,6.4,0.0,0,7,84.4,7.3,23.0,2.7,8.1,2.3
59.2903,28.2,73.5,7.8,0.0,0,7,85.0,7.8,23.8,3.1,8.6,2.9
59.2903,31.8,69.7,7.8,0.0,1,7,85.6,8.3,24.4,3.4,9.0,3.4
49.9712,20.8,84.7,10.1,1.9,0,7,68.7,5.6,22.4,1.0,6.9,0.5
49.9712,21.6,86.3,7.2,0.9,0,7,77.8,6.7,22.6,1.3,7.7,0.7
49.9712,27.4,74.6,6.9,0.0,1,7,85.0,7.7,23.6,3.0,8.5,2.8
63.3159,23.3,72.2,7.4,0.4,0,7,85.0,7.6,22.9,3.1,8.3,2.9
63.3159,22.5,59.4,16.3,0.0,0,7,85.9,8.3,22.8,5.4,8.7,5.4
63.3159,23.2,47.6,10.7,0.0,1,7,87.7,9.0,22.9,5.3,9.1,5.5
60.4676,22.7,90.2,7.8,10.8,0,7,35.8,3.1,7.8,0.0,3.1,0.0
60.4676,15.7,87.5,10.4,1.9,0,7,65.6,5.3,21.5,0.9,6.6,0.4
60.4676,18.7,68.9,8.6,0.0,1,7,85.0,7.4,22.1,3.2,8.1,2.9
